Adobe After Effects 8.0 Keyframe Data

	Units Per Second	25
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	0	100	100	0	
	1	100.032	100.032	0	
	2	100.292	100.292	0	
	3	99.8272	99.8272	0	
	4	99.5865	99.5865	0	
	5	99.6304	99.6304	0	
	6	99.73	99.73	0	
	7	99.6375	99.6375	0	
	8	99.4632	99.4632	0	
	9	99.3452	99.3452	0	
	10	99.2665	99.2665	0	
	11	99.0264	99.0264	0	
	12	99.0027	99.0027	0	
	13	98.9834	98.9834	0	
	14	99.1431	99.1431	0	
	15	99.3921	99.3921	0	
	16	99.7606	99.7606	0	
	17	99.9673	99.9673	0	
	18	100.091	100.091	0	
	19	100.122	100.122	0	
	20	100.128	100.128	0	
	21	100.187	100.187	0	
	22	100.204	100.204	0	
	23	100.179	100.179	0	
	24	100.069	100.069	0	
	25	100.102	100.102	0	
	26	99.817	99.817	0	
	27	99.3998	99.3998	0	
	28	99.4873	99.4873	0	
	29	100.105	100.105	0	
	30	100.597	100.597	0	
	31	100.403	100.403	0	
	32	100.391	100.391	0	
	33	100.369	100.369	0	
	34	100.591	100.591	0	
	35	100.318	100.318	0	
	36	100.229	100.229	0	
	37	100.333	100.333	0	
	38	100.33	100.33	0	
	39	100.072	100.072	0	
	40	99.9222	99.9222	0	
	41	99.9298	99.9298	0	
	42	99.8229	99.8229	0	
	43	99.5682	99.5682	0	
	44	99.4763	99.4763	0	
	45	99.4869	99.4869	0	
	46	99.791	99.791	0	
	47	99.7763	99.7763	0	
	48	99.9301	99.9301	0	
	49	99.9908	99.9908	0	
	50	100.103	100.103	0	
	51	100.221	100.221	0	
	52	100.272	100.272	0	
	53	100.335	100.335	0	
	54	100.411	100.411	0	
	55	100.531	100.531	0	
	56	100.566	100.566	0	
	57	100.505	100.505	0	
	58	100.452	100.452	0	
	59	100.433	100.433	0	
	60	100.478	100.478	0	
	61	100.446	100.446	0	
	62	100.459	100.459	0	
	63	100.471	100.471	0	
	64	100.375	100.375	0	
	65	100.474	100.474	0	
	66	100.886	100.886	0	
	67	101.206	101.206	0	
	68	99.1187	99.1187	0	
	69	98.3811	98.3811	0	
	70	97.021	97.021	0	
	71	96.5457	96.5457	0	
	72	96.8387	96.8387	0	
	73	97.764	97.764	0	
	74	97.6938	97.6938	0	
	75	98.1808	98.1808	0	
	76	98.5468	98.5468	0	
	77	98.8737	98.8737	0	
	78	99.134	99.134	0	
	79	99.298	99.298	0	
	80	99.2823	99.2823	0	
	81	99.3257	99.3257	0	
	82	99.2845	99.2845	0	
	83	99.3072	99.3072	0	
	84	99.3507	99.3507	0	
	85	99.351	99.351	0	
	86	99.4148	99.4148	0	

Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	171.5	78.5	0	
	1	171.661	78.4814	0	
	2	172.486	76.1472	0	
	3	172.492	73.878	0	
	4	172.617	72.9852	0	
	5	172.742	72.765	0	
	6	173.312	72.7013	0	
	7	174.164	72.4021	0	
	8	175.886	72.318	0	
	9	177.434	72.2219	0	
	10	178.54	72.1459	0	
	11	179.333	72.2004	0	
	12	179.18	72.1764	0	
	13	178.482	72.1599	0	
	14	173.706	73.5106	0	
	15	171.22	74.9532	0	
	16	169.794	76.9588	0	
	17	169.196	78.6106	0	
	18	169.129	79.2437	0	
	19	169.082	79.2607	0	
	20	169.171	79.1698	0	
	21	169.271	79.1325	0	
	22	169.661	79.4744	0	
	23	170.144	80.0066	0	
	24	170.655	80.2915	0	
	25	170.709	80.3048	0	
	26	171.361	81.0549	0	
	27	172.292	82.2882	0	
	28	173.447	84.6009	0	
	29	174.751	87.1736	0	
	30	175.824	89.7945	0	
	31	175.978	91.073	0	
	32	176.418	91.9047	0	
	33	176.863	91.9775	0	
	34	177.376	91.423	0	
	35	177.508	89.8286	0	
	36	177.856	87.91	0	
	37	178.372	85.9722	0	
	38	178.237	82.2236	0	
	39	177.634	80.7757	0	
	40	176.866	79.9596	0	
	41	176.33	78.8827	0	
	42	176.296	77.3665	0	
	43	176.355	75.6567	0	
	44	176.801	74.534	0	
	45	176.949	74.6185	0	
	46	177.259	76.6569	0	
	47	176.478	78.8038	0	
	48	175.625	79.8722	0	
	49	175.642	79.8844	0	
	50	175.328	80.0405	0	
	51	175.096	79.9793	0	
	52	174.909	80.013	0	
	53	174.795	80.0868	0	
	54	174.616	80.4545	0	
	55	174.411	81.1945	0	
	56	174.238	82.0283	0	
	57	173.871	82.1765	0	
	58	173.74	82.3762	0	
	59	173.736	82.4187	0	
	60	173.652	82.648	0	
	61	173.42	82.84	0	
	62	173.356	82.9318	0	
	63	172.448	83.3468	0	
	64	171.653	83.9245	0	
	65	170.803	84.4974	0	
	66	170.259	86.0115	0	
	67	170.164	90.0412	0	
	68	169.341	94.9384	0	
	69	167.182	99.2972	0	
	70	161.046	102.28	0	
	71	154.246	102.465	0	
	72	152.215	100.32	0	
	73	153.384	98.2128	0	
	74	153.445	98.1855	0	
	75	156.988	95.4684	0	
	76	158.692	93.521	0	
	77	158.447	92.4222	0	
	78	158.112	91.534	0	
	79	157.908	90.7694	0	
	80	157.806	90.3735	0	
	81	158.012	89.8891	0	
	82	158.646	89.5447	0	
	83	159.317	89.2383	0	
	84	159.669	89.3386	0	
	85	160	89.5478	0	
	86	159.987	89.559	0	

Transform	Rotation
	Frame	degrees	
	0	-0	
	1	0.0103914	
	2	-0.378489	
	3	-1.268	
	4	-2.17808	
	5	-2.80756	
	6	-3.2651	
	7	-3.57459	
	8	-3.39025	
	9	-2.94088	
	10	-2.38148	
	11	-2.14468	
	12	-2.25371	
	13	-2.49065	
	14	-3.96353	
	15	-4.74403	
	16	-5.12077	
	17	-5.10505	
	18	-4.94695	
	19	-4.83391	
	20	-4.78577	
	21	-4.76736	
	22	-4.81702	
	23	-4.96062	
	24	-5.22024	
	25	-5.18634	
	26	-5.44488	
	27	-6.13586	
	28	-6.71317	
	29	-6.83109	
	30	-6.89165	
	31	-7.00464	
	32	-6.88168	
	33	-6.58598	
	34	-5.83494	
	35	-4.98161	
	36	-4.10512	
	37	-3.62049	
	38	-3.74738	
	39	-3.99165	
	40	-4.18545	
	41	-4.1102	
	42	-3.87566	
	43	-3.44791	
	44	-3.1382	
	45	-3.23412	
	46	-3.56041	
	47	-3.96011	
	48	-3.96199	
	49	-3.91838	
	50	-3.72599	
	51	-3.65932	
	52	-3.63127	
	53	-3.62665	
	54	-3.59185	
	55	-3.51567	
	56	-3.56972	
	57	-3.77683	
	58	-3.92807	
	59	-3.99318	
	60	-4.05582	
	61	-4.16906	
	62	-4.21828	
	63	-4.33795	
	64	-4.74104	
	65	-5.5662	
	66	-7.76003	
	67	-10.7049	
	68	-12.6283	
	69	-13.3154	
	70	-10.9007	
